,index,AR,Location,Price,SAT,Unnamed: 0,Institution,Control,State,Category,Institution_stripped
33,32,22% Acceptance Rate,"Pittsburgh, PA ","$29,817 Net Price",1430-1560 SAT Range,122.0,Carnegie Mellon University,Private,PA,Hybrid model,carnegiemellonuniversity
34,33,15% Acceptance Rate,"New York, NY ","$23,736 Net Price",1310-1500 SAT Range,40.0,Barnard College,Private,NY,Considering options,barnardcollege
35,34,21% Acceptance Rate,"Northfield, MN ","$28,148 Net Price",1360-1530 SAT Range,120.0,Carleton College,Private,MN,Considering options,carletoncollege
36,35,22% Acceptance Rate,"Lexington, VA ","$25,029 Net Price",1350-1490 SAT Range,,,,,,
37,36,17% Acceptance Rate,"Berkeley, CA ","$18,178 Net Price",1260-1480 SAT Range,726.0,University of California at Berkeley,Public,CA,Hybrid model,universityofcaliforniaatberkeley
38,37,23% Acceptance Rate,"Atlanta, GA ","$15,873 Net Price",1090-1520 SAT Range,,,,,,
39,38,28% Acceptance Rate,"Wellesley, MA ","$20,189 Net Price",1360-1530 SAT Range,936.0,Wellesley College,Private,MA,Undecided,wellesleycollege
40,39,20% Acceptance Rate,"Haverford, PA ","$23,582 Net Price",1390-1530 SAT Range,300.0,Haverford College,Private,PA,In-person,haverfordcollege
41,40,10% Acceptance Rate,"Claremont, CA ","$28,712 Net Price",1340-1510 SAT Range,,,,,,
42,41,15% Acceptance Rate,"Williamstown, MA ","$20,380 Net Price",1400-1570 SAT Range,964.0,Williams College,Private,MA,Undecided,williamscollege
43,42,22% Acceptance Rate,"Lewiston, ME ","$23,312 Net Price",1385-1460 SAT Range,42.0,Bates College,Private,ME,Undecided,batescollege
44,43,24% Acceptance Rate,"Chapel Hill, NC ","$11,100 Net Price",1270-1460 SAT Range,812.0,University of North Carolina at Chapel Hill,Public,NC,In-person,universityofnorthcarolinaatchapelhill
45,44,28% Acceptance Rate,"Winston-Salem, NC ","$23,986 Net Price",1270-1410 SAT Range,923.0,Wake Forest University,Private,NC,In-person,wakeforestuniversity
46,45,27% Acceptance Rate,"Boston, MA ","$30,784 Net Price",1370-1520 SAT Range,506.0,Northeastern University,Private,MA,In-person,northeasternuniversity
47,46,70% Acceptance Rate,"Blacksburg, VA ","$18,700 Net Price",1180-1360 SAT Range,920.0,Virginia Tech,Public,VA,Hybrid model,virginiatech
48,47,36% Acceptance Rate,"Austin, TX ","$14,356 Net Price",1220-1460 SAT Range,847.0,University of Texas at Austin,Public,TX,In-person,universityoftexasataustin
49,48,25% Acceptance Rate,"Bethlehem, PA ","$26,933 Net Price",1270-1430 SAT Range,369.0,Lehigh University,Private,PA,In-person,lehighuniversity
50,49,16% Acceptance Rate,"Waterville, ME ","$20,361 Net Price",1340-1500 SAT Range,153.0,Colby College,Private,ME,Undecided,colbycollege
51,50,32% Acceptance Rate,"Chestnut Hill, MA ","$27,299 Net Price",1320-1490 SAT Range,67.0,Boston College,Private,MA,In-person,bostoncollege
52,51,36% Acceptance Rate,"Williamsburg, VA ","$17,415 Net Price",1300-1480 SAT Range,165.0,College of William & Mary,Public,VA,In-person,collegeofwilliam&mary
53,51,36% Acceptance Rate,"Williamsburg, VA ","$17,415 Net Price",1300-1480 SAT Range,166.0,College of William & Mary ,Public,VA,In-person,collegeofwilliam&mary
54,52,24% Acceptance Rate,"Clinton, NY ","$22,139 Net Price",1360-1510 SAT Range,,,,,,
55,53,20% Acceptance Rate,"Davidson, NC ","$28,339 Net Price",1310-1470 SAT Range,206.0,Davidson College,Private,NC,Considering options,davidsoncollege
56,54,28% Acceptance Rate,"Hamilton, NY ","$22,182 Net Price",1310-1500 SAT Range,154.0,Colgate University,Private,NY,Considering options,colgateuniversity
57,55,32% Acceptance Rate,"Northampton, MA ","$26,734 Net Price",1240-1470 SAT Range,623.0,Smith College,Private,MA,Considering options,smithcollege
58,56,28% Acceptance Rate,"New York, NY ","$36,256 Net Price",1290-1490 SAT Range,487.0,New York University,Private,NY,Hybrid model,newyorkuniversity
59,57,33% Acceptance Rate,"University of Richmond, VA ","$24,575 Net Price",1270-1460 SAT Range,831.0,University of Richmond,Private,VA,Considering options,universityofrichmond
60,58,16% Acceptance Rate,"Middletown, CT ","$24,251 Net Price",1300-1480 SAT Range,,,,,,
61,59,54% Acceptance Rate,"Madison, WI ","$15,910 Net Price",1280-1450 SAT Range,860.0,University of Wisconsin at Madison,Public,WI,Considering options,universityofwisconsinatmadison
62,60,15% Acceptance Rate,"Claremont, CA ","$38,135 Net Price",1470-1570 SAT Range,298.0,Harvey Mudd College,Private,CA,Considering options,harveymuddcollege
63,61,42% Acceptance Rate,"Gainesville, FL ","$15,283 Net Price",1240-1400 SAT Range,751.0,University of Florida,Public,FL,In-person,universityofflorida
64,62,34% Acceptance Rate,"Rochester, NY ","$37,064 Net Price",1300-1490 SAT Range,832.0,University of Rochester,Private,NY,Considering options,universityofrochester
65,63,62% Acceptance Rate,"Champaign, IL ","$16,638 Net Price",1340-1500 SAT Range,758.0,University of Illinois at Urbana-Champaign,Public,IL,In-person,universityofillinoisaturbana-champaign
66,64,31% Acceptance Rate,"Lewisburg, PA ","$37,817 Net Price",1250-1420 SAT Range,79.0,Bucknell University,Private,PA,In-person,bucknelluniversity
67,65,25% Acceptance Rate,"Boston, MA ","$33,728 Net Price",1300-1480 SAT Range,68.0,Boston University,Private,MA,In-person,bostonuniversity
68,66,54% Acceptance Rate,"Athens, GA ","$15,934 Net Price",1200-1370 SAT Range,,,,,,
69,67,29% Acceptance Rate,"Grinnell, IA ","$29,492 Net Price",1310-1510 SAT Range,287.0,Grinnell College,Private,IA,Considering options,grinnellcollege
70,68,52% Acceptance Rate,"Provo, UT ","$12,979 Net Price",1210-1410 SAT Range,74.0,Brigham Young University,Private,UT,Undecided,brighamyounguniversity
71,69,21% Acceptance Rate,"New Orleans, LA ","$33,886 Net Price",1330-1490 SAT Range,708.0,Tulane University,Private,LA,In-person,tulaneuniversity
72,70,56% Acceptance Rate,"Golden, CO ","$25,472 Net Price",1310-1450 SAT Range,171.0,Colorado School of Mines,Public,CO,In-person,coloradoschoolofmines
73,71,24% Acceptance Rate,"Poughkeepsie, NY ","$23,763 Net Price",1330-1500 SAT Range,915.0,Vassar College,Private,NY,Undecided,vassarcollege
74,72,34% Acceptance Rate,"Gambier, OH ","$31,704 Net Price",1260-1460 SAT Range,351.0,Kenyon College,Private,OH,In-person,kenyoncollege
